cv,sp,pv,ce,pe
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1,10000,32,9968,9968
1.01558,10000,33.79679,9966.20321,9966.20321
1.0076699999999998,10000,32.8715,9967.1285,9967.1285
0.9998199999999998,10000,31.97985,9968.02015,9968.02015
0.9920299999999999,10000,31.12059,9968.87941,9968.87941
0.9842999999999998,10000,30.2925,9969.7075,9969.7075
0.9766299999999999,10000,29.49444,9970.50556,9970.50556
0.9690199999999999,10000,28.72526,9971.27474,9971.27474
0.9614699999999999,10000,27.98389,9972.01611,9972.01611
0.9539799999999999,10000,27.26929,9972.73071,9972.73071
0.9465499999999999,10000,26.58047,9973.41953,9973.41953
0.9391699999999998,10000,25.91556,9974.08444,9974.08444
0.9318499999999998,10000,25.27458,9974.72542,9974.72542
0.9245899999999998,10000,24.65663,9975.34337,9975.34337
0.9173799999999998,10000,24.06005,9975.93995,9975.93995
0.9316799999999997,10000,25.25991,9974.74009,9974.74009
0.9316799999999997,10000,25.25991,9974.74009,9974.74009
0.9461999999999997,10000,26.5485,9973.4515,9973.4515
0.9609399999999997,10000,27.93265,9972.06735,9972.06735
0.9759199999999997,10000,29.42173,9970.57827,9970.57827
0.9911199999999997,10000,31.02184,9968.97816,9968.97816
1.0065599999999997,10000,32.74382,9967.25618,9967.25618
1.0222399999999996,10000,34.59725,9965.40275,9965.40275
1.0381599999999995,10000,36.59247,9963.40753,9963.40753
1.0543199999999995,10000,38.74062,9961.25938,9961.25938
1.0707199999999994,10000,41.05373,9958.94627,9958.94627
1.0873799999999993,10000,43.54782,9956.45218,9956.45218
1.0873799999999993,10000,43.54782,9956.45218,9956.45218
1.0873799999999993,10000,43.54782,9956.45218,9956.45218
1.1042999999999994,10000,46.23741,9953.76259,9953.76259
1.1042999999999994,10000,46.23741,9953.76259,9953.76259
1.1042999999999994,10000,46.23741,9953.76259,9953.76259
1.1214799999999994,10000,49.13816,9950.86184,9950.86184
1.1389199999999993,10000,52.267,9947.733,9947.733
1.1300699999999992,10000,50.65548,9949.34452,9949.34452
1.1300699999999992,10000,50.65548,9949.34452,9949.34452
1.1476299999999993,10000,53.9021,9946.0979,9946.0979
1.1654699999999993,10000,57.40842,9942.59158,9942.59158
1.1654699999999993,10000,57.40842,9942.59158,9942.59158
1.1835699999999993,10000,61.19131,9938.80869,9938.80869
1.2019499999999994,10000,65.27739,9934.72261,9934.72261
1.2206099999999993,10000,69.69131,9930.30869,9930.30869
1.2395499999999993,10000,74.45967,9925.54033,9925.54033
1.2587699999999993,10000,79.6112,9920.3888,9920.3888
1.2782899999999993,10000,85.18276,9914.81724,9914.81724
1.2980899999999993,10000,91.20268,9908.79732,9908.79732
1.2779899999999993,10000,85.09445,9914.90555,9914.90555
1.2977899999999993,10000,91.10861,9908.89139,9908.89139
1.3178899999999993,10000,97.61354,9902.38646,9902.38646
1.3076899999999994,10000,94.26089,9905.73911,9905.73911
1.2874499999999993,10000,87.92043,9912.07957,9912.07957
1.3073899999999994,10000,94.16391,9905.83609,9905.83609
1.3276299999999994,10000,100.91691,9899.08309,9899.08309
1.3481699999999994,10000,108.22121,9891.77879,9891.77879
1.3377499999999993,10000,104.45742,9895.54258,9895.54258
1.3584299999999994,10000,112.04762,9887.95238,9887.95238
1.3794099999999994,10000,120.25736,9879.74264,9879.74264
1.4007099999999995,10000,129.14577,9870.85423,9870.85423
1.4223099999999995,10000,138.75985,9861.24015,9861.24015
1.4442299999999995,10000,149.16829,9850.83171,9850.83171
1.4664499999999994,10000,160.4261,9839.5739,9839.5739
1.4889899999999994,10000,172.61303,9827.38697,9827.38697
1.5118499999999995,10000,185.80526,9814.19474,9814.19474
1.5350299999999995,10000,200.08498,9799.91502,9799.91502
1.5585299999999995,10000,215.54088,9784.45912,9784.45912
1.5823499999999995,10000,232.26861,9767.73139,9767.73139
1.5582099999999994,10000,215.32356,9784.67644,9784.67644
1.5582099999999994,10000,215.32356,9784.67644,9784.67644
1.5820299999999994,10000,232.03656,9767.96344,9767.96344
1.6061699999999994,10000,250.12348,9749.87652,9749.87652
1.5939399999999995,10000,240.81166,9759.18834,9759.18834
1.6182399999999995,10000,259.62058,9740.37942,9740.37942
1.6182399999999995,10000,259.62058,9740.37942,9740.37942
1.5936199999999994,10000,240.57214,9759.42786,9759.42786
1.5814699999999993,10000,231.63095,9768.36905,9768.36905
1.6056099999999993,10000,249.69033,9750.30967,9750.30967
1.6056099999999993,10000,249.69033,9750.30967,9750.30967
1.6056099999999993,10000,249.69033,9750.30967,9750.30967
1.6300699999999992,10000,269.23281,9730.76719,9730.76719
1.6548499999999993,10000,290.37796,9709.62204,9709.62204
1.6799499999999992,10000,313.25456,9686.74544,9686.74544
1.7053699999999992,10000,338.00128,9661.99872,9661.99872
1.6924999999999992,10000,325.26831,9674.73169,9674.73169
1.7180799999999992,10000,350.99741,9649.00259,9649.00259
1.7439799999999992,10000,378.82421,9621.17579,9621.17579
1.770199999999999,10000,408.91527,9591.08473,9591.08473
1.7967199999999992,10000,441.42442,9558.57558,9558.57558
1.7832999999999992,10000,424.70608,9575.29392,9575.29392
1.8099799999999993,10000,458.49659,9541.50341,9541.50341
1.8369599999999993,10000,494.99255,9505.00745,9505.00745
1.8642399999999992,10000,534.40245,9465.59755,9465.59755
1.8366599999999993,10000,494.57342,9505.42658,9505.42658
1.8639399999999993,10000,533.95485,9466.04515,9466.04515
1.8914999999999993,10000,576.44014,9423.55986,9423.55986
1.9193599999999993,10000,622.29651,9377.70349,9377.70349
1.9474799999999992,10000,671.70785,9328.29215,9328.29215
1.9758599999999993,10000,724.93435,9275.06565,9275.06565
2.0044999999999993,10000,782.25384,9217.74616,9217.74616
2.0333799999999993,10000,843.91882,9156.08118,9156.08118
2.0333799999999993,10000,843.91882,9156.08118,9156.08118
2.004279999999999,10000,781.79925,9218.20075,9218.20075
1.9898499999999992,10000,752.46931,9247.53069,9247.53069
1.9610899999999993,10000,696.80131,9303.19869,9303.19869
1.9895899999999993,10000,751.94957,9248.05043,9248.05043
2.0183299999999993,10000,811.28701,9188.71299,9188.71299
2.047309999999999,10000,875.11099,9124.88901,9124.88901
2.032719999999999,10000,842.46473,9157.53527,9157.53527
2.061799999999999,10000,908.59233,9091.40767,9091.40767
2.061799999999999,10000,908.59233,9091.40767,9091.40767
2.091079999999999,10000,979.5823,9020.4177,9020.4177
2.061599999999999,10000,908.12289,9091.87711,9091.87711
2.090879999999999,10000,979.08187,9020.91813,9020.91813
2.0761399999999988,10000,942.79308,9057.20692,9057.20692
2.105519999999999,10000,1016.29203,8983.70797,8983.70797
2.135079999999999,10000,1095.09468,8904.90532,8904.90532
2.135079999999999,10000,1095.09468,8904.90532,8904.90532
2.164779999999999,10000,1179.43097,8820.56903,8820.56903
2.194619999999999,10000,1269.64569,8730.35431,8730.35431
2.224559999999999,10000,1365.96969,8634.03031,8634.03031
2.254579999999999,10000,1468.69038,8531.30962,8531.30962
2.239549999999999,10000,1416.47398,8583.52602,8583.52602
2.239549999999999,10000,1416.47398,8583.52602,8583.52602
2.209509999999999,10000,1316.80495,8683.19505,8683.19505
