cv,sp,pv
100,10000,809
45.955,10000,376.64
362.81994,10000,2911.55952
365.21901,10000,2930.75208
562.12857,10000,4506.02856
593.5281,10000,4757.2248
799.97399,10000,6408.79192
794.58359,10000,6365.66872
794.58359,10000,6365.66872
966.82385,10000,7743.5908
947.17584,10000,7586.40672
1037.42199,10000,8308.37592
1033.40459,10000,8276.23672
1083.05458,10000,8673.43664
1088.80979,10000,8719.47832
1118.66518,10000,8958.32144
1128.2087,10000,9034.6696
1148.35021,10000,9195.80168
1156.62233,10000,9261.97864
1184.24519,10000,9482.96152
1184.56377,10000,9485.51016
1200.06931,10000,9609.55448
1200.06931,10000,9609.55448
1209.63183,10000,9686.05464
1213.88254,10000,9720.06032
1219.16872,10000,9762.34976
1222.57165,10000,9789.5732
1222.57165,10000,9789.5732
1229.84122,10000,9847.72976
1230.60846,10000,9853.86768
1234.38255,10000,9884.0604
1235.3477,10000,9891.7816
1239.48285,10000,9924.8628
1239.61038,10000,9925.88304
1241.79306,10000,9943.34448
1243.21232,10000,9954.69856
1243.73824,10000,9958.90592
1244.62169,10000,9965.97352
1245.0414,10000,9969.3312
1245.59358,10000,9973.74864
1245.96539,10000,9976.72312
1246.36804,10000,9979.94432
1246.63835,10000,9982.1068
1246.95363,10000,9984.62904
1247.15508,10000,9986.24064
1247.40089,10000,9988.20712
1247.56865,10000,9989.5492
1247.73542,10000,9990.88336
1247.87766,10000,9992.02128
1248.14265,10000,9994.1412
1248.17789,10000,9994.42312
1248.31699,10000,9995.53592
1248.44628,10000,9996.57024
1248.47547,10000,9996.80376
1248.55262,10000,9997.42096
1248.57881,10000,9997.63048
1248.62561,10000,9998.00488
1248.68653,10000,9998.49224
1248.69903,10000,9998.59224
1248.73316,10000,9998.86528
1248.74284,10000,9998.94272
1248.76605,10000,9999.1284
1248.77568,10000,9999.20544
1248.79045,10000,9999.3236
1248.79956,10000,9999.39648
1248.80951,10000,9999.47608
1248.81743,10000,9999.53944
1248.83286,10000,9999.66288
1248.8348,10000,9999.6784
1248.84324,10000,9999.74592
1248.84495,10000,9999.7596
1248.85055,10000,9999.8044
1248.85219,10000,9999.81752
1248.85613,10000,9999.84904
1248.85781,10000,9999.86248
1248.86035,10000,9999.8828
1248.86193,10000,9999.89544
1248.86554,10000,9999.92432
1248.86591,10000,9999.92728
1248.86779,10000,9999.94232
1248.86827,10000,9999.94616
1248.86946,10000,9999.95568
1248.87075,10000,9999.966
1248.87108,10000,9999.96864
1248.87177,10000,9999.97416
1248.87207,10000,9999.97656
1248.87331,10000,9999.98648
1248.87381,10000,9999.99048
1248.87391,10000,9999.99128
1248.87429,10000,9999.99432
1248.87453,10000,9999.99624
1248.87455,10000,9999.9964
1248.87466,10000,9999.99728
1248.87473,10000,9999.99784
1248.87476,10000,9999.99808
1248.8748,10000,9999.9984
1248.87482,10000,9999.99856
1248.87484,10000,9999.99872
1248.87486,10000,9999.99888
1248.87488,10000,9999.99904
1248.87489,10000,9999.99912
1248.87493,10000,9999.99944
1248.87492,10000,9999.99936
1248.87492,10000,9999.99936
1248.87496,10000,9999.99968
1248.87495,10000,9999.9996
1248.87497,10000,9999.99976
1248.87496,10000,9999.99968
1248.87498,10000,9999.99984
1248.87497,10000,9999.99976
